account_id,name,category,category_id_maxweb,commissionplanname,commissionplantype,avg_ltv,avg_payout,epc_alltime,conversion_rate_alltime,refundrate_alltime,visitors_alltime,trending,negative_score,positive_score,flag_approved,auto_approve,company_website,product_image,codename,rr_record_id,cartproductname,resources_link,restrictions_link,manage_link
11680,Trueluck Casino PPC NL,iGaming/Casino,470,"0% Frontend, 0% Backend",backend,1,470,1,1,0,7,0,0,0,2,0,https://gotrueluck.com/,https://cdn.softwareprojects.com/productimages/11680/3/_ueluck_lfjqv_p_g_resized160.png,trueluck_casino_ppc_nl,3,Trueluck Casino PPC NL,,,
11667,Trimology CB,Weight Loss,382,"0% Frontend, 0% Backend",backend,69,166,4.76,3.4,10.02,31851,3.55,0,0,2,1,https://trimology.solutions/vsl/vsl236,https://cdn.softwareprojects.com/productimages/11667/3/_imologyweigh_oxmfoh_p_g_resized160.png,trimology_cb,3,Trimology CB,https://affiliates-backoffice.maxweb.com/app#resources/11667/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11667/Trimology%20CB,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11667/Trimology%20CB
11666,Nervolyn TSL,Nerve Health,398,"0% Frontend, 0% Backend",backend,79,145,2.68,1.85,0,5230,1.32,0,0,2,0,https://nervolyn.com/,https://cdn.softwareprojects.com/productimages/11666/3/_e_voly_e_ve1z_p_g_resized160.png,nervolyn_tsl,3,Nervolyn TSL,,,
11665,Marobrain DTC,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,79,145,2.6,1.79,0,29376,3.95,0,0,2,0,https://marobrain.com/dtc/,https://cdn.softwareprojects.com/productimages/11665/3/1_bo_leap2ahp_p_g_resized160.png,marobrain_dtc,3,Marobrain DTC,,,
11659,Sight Fresh,Vision,402,"0% Frontend, 0% Backend",backend,69,130,2.14,1.78,0,40339,9.27,0,0,2,0,https://secure.sightfresh.com/index-vsl-cf,https://cdn.softwareprojects.com/productimages/11659/3/sigh_f_esh0bl1fj_p_g_resized160.png,sight_fresh,3,Sight Fresh,https://affiliates-backoffice.maxweb.com/app#resources/11659/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11659/Sight%20Fresh,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11659/Sight%20Fresh
11658,Trimology DE DTC,Weight Loss,382,"0% Frontend, 0% Backend",backend,79,120,4.08,3.4,0,2908,0.62,0,0,2,0,https://trimologyweight.com/de/dtc/dtc236/,https://cdn.softwareprojects.com/productimages/11658/3/_imologyweigh_gyl_x_p_g_resized160.png,trimology_de_dtc,3,Trimology DE DTC,,,
11653,RevaNail,Fungus,390,"0% Frontend, 0% Backend",backend,69,123,2.03,1.65,0,15030,0.71,0,0,2,1,https://revanail.com/v1,https://cdn.softwareprojects.com/productimages/11653/3/_eva_ailoydxls_p_g_resized160.png,revanail,3,RevaNail,https://affiliates-backoffice.maxweb.com/app#resources/11653/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11653/RevaNail,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11653/RevaNail
11648,CogniSurge,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,69,123,2.15,1.75,0,24011,0.34,0,0,2,0,https://thecognisurge.com/go/indexvs2.php,https://cdn.softwareprojects.com/productimages/11648/3/cog_isu_euz_xu8_p_g_resized160.png,cognisurge,3,CogniSurge,https://affiliates-backoffice.maxweb.com/app#resources/11648/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11648/CogniSurge,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11648/CogniSurge
11647,DigestiStart,Gut Health,410,,,79,125,2.53,1.88,0,89000,8.17,0,0,2,1,https://thedigestistart.com/video.php,https://cdn.softwareprojects.com/productimages/11647/3/dige_is_a_zdi6z_p_g_resized160.png,digestistart,3,DigestiStart,https://affiliates-backoffice.maxweb.com/app#resources/11647/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11647/DigestiStart,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11647/DigestiStart
11620,Nerve Meister DE,Nerve Health,398,"0% Frontend, 0% Backend",backend,69,110,2.04,1.85,0,1024,0.02,0,0,2,0,https://www.nervenmeister.com/vsl/med/skgnv1_0/video.php,https://cdn.softwareprojects.com/productimages/11620/3/beyo_d_e_ve_eliefi447xj_p_g_resized160.png,nerve_meister_de,3,Nerve Meister DE,https://affiliates-backoffice.maxweb.com/app#resources/11620/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/11620/Nerve%20Meister%20DE,https://affiliates-backoffice.maxweb.com/app#sales-by-product/11620/Nerve%20Meister%20DE
